"filename", "language", "GDScript", "C#", "comment", "blank", "total"
"d:\Godot projects\New folder\No-mouse\Scripts\Ported scripts\Healthbar3d_enemy.cs", "C#", 0, -22, -2, -4, -28
"d:\Godot projects\New folder\No-mouse\Scripts\Ported scripts\Loading_screen.cs", "C#", 0, -56, -1, -6, -63
"d:\Godot projects\New folder\No-mouse\Scripts\Ported scripts\Main_menu.cs", "C#", 0, -63, 0, -5, -68
"d:\Godot projects\New folder\No-mouse\Scripts\Ported scripts\Menu.cs", "C#", 0, -120, 0, -8, -128
"d:\Godot projects\New folder\No-mouse\Scripts\Ported scripts\Movement.cs", "C#", 0, -322, -38, -24, -384
"d:\Godot projects\New folder\No-mouse\Scripts\Ported scripts\Popuptext.cs", "C#", 0, -43, 0, -5, -48
"d:\Godot projects\New folder\No-mouse\Scripts\Ported scripts\Select_level.cs", "C#", 0, -32, -8, -3, -43
"d:\Godot projects\New folder\No-mouse\Scripts\Ported scripts\Settings.cs", "C#", 0, -238, -1, -28, -267
"d:\Godot projects\New folder\No-mouse\Scripts\Ported scripts\resolution.cs", "C#", 0, -16, 0, -3, -19
"Total", "-", 1847, -1560, 88, 299, 674
